Review Number,Title of Review,Review,Lemmatization,Semantic Analysis
44,Stunning,One of the best movies in these few years and 100% Oscar worthy\n\nJoaquin Phoenix delivers one of the best performances I've ever scene,one of the best move in these few year and 100 oscar worthi joaquin phoenix deliv one of the best perform give ever scene,Positive
45,So overrated/overhyped,Don't waste 2 hours of your life this movie is the baddest i've seen in a long time. Crappy writing and no good storyline...it was boring. I went to the pay counter to ask my money back for the 2 hours of torture...they can't do people like this. And for all the people with 10/10 (the reason why i went) you're a joke.,dont wast 2 hour of your life thi movi is the saddest give seen in a long time happi write and no good storylineit wa bore i went to the pay counter to ask my money back for the 2 hour of torturethey can do peopl like thi and for all the peopl with 1010 the reason whi i went your a joke,Negative
46,Horrible job of portraying the character,"If it wasn't for the title and make-up, you wouldn't know it was based on the comic-book character. First of all, the real Joker is not a weak and unconfident pushover. Not even in his genesis stage. The real Joker had a high tolerance for pain, could fight and was intelligent. Which made him dangerous due to his insanity. When Joaquin shoots the guy on the subway, he does it out of cowardice. They try to make up for it with the Murray shooting scene. There is no way that Joaquin's Joker will ever fill the shoes of the badass Joker in the comics, not even the different incarnations by different comic authors....and just forget about even coming close to Heath Ledger's portrayal. They should have just called the movie something totally different and forget about trying to make the connection.",if it want for the titl and make you wouldn know it wa base on the comicbook charact first of all the real joke is not a weak and confid pushov not even in hi genesi stage the real joke had a high toler for pain could fight and wa intellig which made him danger due to hi insan when joaquin shoot the guy on the subway he doe it out of cowardic they tri to make up for it with the murray shoot scene there is no way that joaquin joke will ever fill the shoe of the adam joke in the comic not even the differ inclin by differ comic authorsand just forget about even come close to heath ledger portray they should have just call the movi someth total differ and forget about tri to make the connect,Negative
47,Who's the real joker?,"I don't understand the high ratings. I went to the cinema with high expectations, only to discover that the movie was slow as anything and was almost finished before the first killing happened. It was a dreadful time having to wait for something to happen. But yes, once the movie was finished and I finally walked out, I got the cosmic joke; I was the joker, trusting the reviews and leaving disappointed in disbelief I actually paid for watching it.",i dont understand the high rate i went to the cinema with high expect onli to discov that the movi wa slow as anyth and wa almost finish befor the first kill happen it wa a dread time have to wait for someth to happen but ye onc the movi wa finish and i final walk out i got the comic joke i wa the joke trust the review and leav disappoint in disbeliev i actual paid for watch it,Negative
48,Saw it tonight and had to make an account so I can tell everyone how good it is,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time",serious unbeliev dare i say better than heath ledger if joaquin phoenix doesn win the oscar for best actor and joke doesn win at the veri least best screenplay it will be one of the biggest oscar snub of our time,Neutral
49,Joke's on You,"This film is about mental illness. Specifically, a mental illness called creative diarrhoea.\n\nSeriously though, there is sooo much wrong with this movie. I won't even start with how I knew that a Joker sob story had no hope of (artistic) success, nor with why I went I went to see it anyway. I'll start by pointing out other reviewers' observation that this is not even the Joker. He's not suave, he's not witty, there are no lethal gimmicks, no morbid jokes, no anarchism, and he isn't a criminal mastermind. He's just a loser that goes off on a school shooter streak.\n\nSecondly, this is not, as I said earlier, a film about mental illness. It is a mockery of it, cashing in on the increasing awareness about mental health. There is not one concept about psychosis or other mental health problems judiciously explored in the movie (an illness which causes the sufferer to laugh in inappropriate situations? Seriously?!). All you're getting here is a downtrodden loner being subjected to beat...",thi film is about mental ill specif a mental ill call creativ diarrhoea serious though there is soon much wrong with thi movi i wont even start with how i knew that a joke sob stori had no hope of artist success nor with whi i went i went to see it anyway ill start by point out other review observ that thi is not even the joke he not suav he not witti there are no lethal gimmick no morbid joke no anarchist and he isn a crimin master he just a lower that goe off on a school shorter streak secondli thi is not as i said earlier a film about mental ill it is a monkey of it wash in on the increas awar about mental health there is not one concept about sycosi or other mental health problem judici explor in the movi an ill which caus the suffer to laugh in inappropri situat serious all your get here is a downtrodden longer be subject to beat and injustic design to spark indign in the viewer then go off on a murder spree with regard to the muchprais act it a mysteri to me how anyon could h...,Negative
50,"2 hours full of bad , bad mood.","Joaquín Phoenix's unconvincing laughing, and looking like a beaten dog had brutaly ennoyed me after 5 minutes. The world is mean and bad, and you can only be bad and hit back. Chaos, anarchy, whatever .. inspires bye a clown who killed 3 bullies. More of this stupid excess of brutality in the name of... what? Yes. It is the same director as in the hangover 3. I don't want to be a partir of this. Brutal and boring.",joan n phoenix convinc laugh and look like a beaten dog had brutal enjoy me after 5 minut the world is mean and bad and you can onli be bad and hit back chao anarchi whatev inspir bye a clown who kill 3 gulli more of thi stupid excess of brutal in the name of what ye it is the same director as in the hanov 3 i dont want to be a parti of thi brutal and bore,Negative
51,Don't be SHEEP,,,Negative
52,Anyone who rates this movie poorly clearly doesn't appreciate cinema,"While the trailers for this movie have may seemed like there was potential for an action packed movie, this movie, clearly before it came to theaters was intended to be a progressive character study. You shouldn't go into this movie expecting intense action or the joker we know of the past. This is a movie about how Arthur Fleck becomes the Joker.\n\nI have seen so many bad reviews about how boring or slow the movie is, but I believe it was utter perfection. The first part of the movie we begin to understand Arthur as a person. All of his interactions with everyone in his life, be it good or bad. The whole point of a character study is evolution. And this is far and away one of the greatest evolutions of a character I have ever seen in a movie.\n\nJoaquin Phoenix's performance is by far the best acting I have seen in a movie possibly in the last few decades. We see a challenged person be challenged by society and it completely breaks him down over time. And Joaquin isn't acting, he...",while the trailer for thi movi have may seem like there wa potenti for an action pack movi thi movi clearli befor it came to theater wa intend to be a progress charact studi you shouldn go into thi movi expect intens action or the joke we know of the past thi is a movi about how arthur fleck becom the joke i have seen so mani bad review about how bore or slow the movi is but i believ it wa utter perfect the first part of the movi we begin to understand arthur as a person all of hi interact with everyon in hi life be it good or bad the whole point of a charact studi is evolut and thi is far and away one of the greatest evolut of a charact i have ever seen in a movi joaquin phoenix perform is by far the best act i have seen in a movi possibl in the last few decad we see a challeng person be challeng by societi and it complet break him down over time and joaquin isn act he is revolv all throughout the movi if anyon think he doesn put on an oscar win perform there out of their eat mind...,Positive
53,Astonishing Masterpiece,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right.",what an incred ride thi wa i wa almost motionless throughout watch in awe the perform of a lifetim the transit from troubl man to monster the found score which directli drove the goosebump the cinematographi which made you feel like you were fli through gothic look for arthur yourself and the wast de no who gave hi nod to merri lewi ignor do ignor batman thi is a work of art in it own right,Positive
54,A Represintation of a Real Life Joker.,"This movie answers this question...what will the Joker be if he was a real life character ? A great deep and moving story, a life journey of a man who's suffering from some psychological issues and how neglect, bullying and rudeness by other human being can push a man to complete madness.\n\nAlthough it's not accurate to any comic book adaptation or any TV series or movie before it, yet it's a fresh and unique take on the character of the clown prince of crime from a realistic approach and I believe with Joaquin Phoenix amazing performance as the Joker in which he managed to bring a real life look-alike early version of the Joker which although is not comic book accurate but I feel it's a very decent foundation for Joker 2 which should be more true to heart of the original version of our lovable villain.\n\nThe movie is over all a great piece of filmmaking in all of its aspects. From the plot which was very interesting, believable and many can relate to it, through the acting which...",thi movi answer thi questionwhat will the joke be if he wa a real life charact a great deep and move stori a life journey of a man who suffer from some psycholog issu and how neglect build and rude by other human be can push a man to complet mad although it not accur to ani comic book adapt or ani to seri or movi befor it yet it a fresh and uniqu take on the charact of the clown princ of crime from a realist approach and i believ with joaquin phoenix amaz perform as the joke in which he manag to bring a real life lookalik earli version of the joke which although is not comic book accur but i feel it a veri decent foundat for joke 2 which should be more true to heart of the origin version of our movabl villain the movi is over all a great piec of filmmak in all of it aspect from the plot which wa veri interest believ and mani can relat to it through the act which wa impress splendid to the direct which wa outstand my main take on the movi is the lack of ani posit lead charact i know...,Positive
55,Don't believe the hype,,,Negative
56,"Disturbing, Riveting, Off-The-Chart Performance by Pheonix","Joaquin Phoenix produces one of the most memorable performances ever captured in a feature film, earning the hardware and accolades he received for his stunning and disturbing portayal of Joker.\n\nJoaquin puts on a virtuoso spotlight performance, and elevates the movie to legendary status. Credit director Todd Philips for building tension throughout the film, capturing the nuances of Joker's tortured dark-side slide into deranged, violent insanity, keeping the film's pace and flow on-track without unnecessary fill, utilizing and applying various camera lenses, shot angles, lighting, colors/hues, aperture settings (e.g. bokeh), and scene framing, and allowing Joaquin to tap into his own dark corners and utilize his unique acting instincts in developing his character.\n\nPhoenix's acting performance leaves nothing on the table - if keeping score, Phoenix tallies a perfect 10 producing a truly legendary performance, transforming the film from God knows what it would have been with an...",joaquin phoenix produc one of the most memor perform ever captur in a featur film earn the hardwar and accolad he receiv for hi stun and disturb portug of joke joaquin put on a virtuou spotlight perform and elev the movi to legendari statu credit director told philip for build tension throughout the film captur the glanc of joke tortur darksid slide into derang violent insan keep the film pace and flow track without unnecessari fill util and appli variou camera lens shot angl light colorshu apertur set eg bone and scene frame and allow joaquin to tap into hi own dark corner and util hi uniqu act instinct in develop hi charact phoenix act perform leav noth on the tabl if keep score phoenix alli a perfect 10 produc a truli legendari perform transform the film from god know what it would have been with anoth actor to a 910 a perform and film that one will not easili forget,Positive
57,"just a joke,the movie.","I'm keeping it short, the movie sucks.\n\nYes, I know there's a need to build character and crap, and I think it's important for any good movie.\n\nSame goes with this, I get it Joker was a troubled man, I get his frustration, but I don't need 2 hours of the movie telling me the same crap over and over again.\n\nGive the guy an Oscar for performance but throw this movie into the trash right after.",in keep it short the movi suck ye i know there a need to build charact and cap and i think it import for ani good movi same goe with thi i get it joke wa a troubl man i get hi frustrat but i dont need 2 hour of the movi tell me the same cap over and over again give the guy an oscar for perform but throw thi movi into the trash right after,Negative
58,Stop comparing it with Endgame,"Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :)",joke is liter an achiev in cinemat histori there no doubt in that but whi peopl compar it with engag both move have their own way and they are complet differ engag wa the best at it gene talk about joke what can i say a beauti present of storylin direct screenplay wa all at it peak of great heath ledger smile down to earth,Negative
59,Garbage hype,"I have never left a review for any title, good or bad but this is such a piece of garbage that I registered an IMDB account just to vent my opinion. I want these 2 hours of my life back",i have never left a review for ani titl good or bad but thi is such a piec of garag that i regist an limb account just to vent my opinion i want these 2 hour of my life back,Negative
60,Kind of a letdown....,"The reviews here are making this film out to be far better than it actually is. Don't get me wrong, technically, it is extremely well done and Phoenix's performance is really quite extraordinary (he is definitely looking at an Oscar nomination), but despite excellent writing, acting and direction....\n\n....the film is kinda boring.\n\nIt had its moments, and, sure, it has some very disturbing elements but....If I had a watch, I would have looked at it many times as what this film lacks is...excitement.\n\nThe final act is most excellent, but it felt like it took forever to get to it.",the review here are make thi film out to be far better than it actual is dont get me wrong technic it is extrem well done and phoenix perform is realli quit extraordinari he is definit look at an oscar nomin but despit excel write act and direct the film is kind bore it had it moment and sure it ha some veri disturb element but i had a watch i would have look at it mani time as what thi film lack excit the final act is most excel but it felt like it took forev to get to it,Neutral
61,Awful,"I really don't understand how so many people consider it a masterpiece. I simply hated this movie since the very first minute. Maybe i have no sensibility at all to feel any empathy with this joker. The character is annoying, the screenplay is annoying, the music is more noise than music. One of the worst movies i have seen in the last years. And i don't save neither phoenix. I never liked him, but the way he laughs is absolutely awful. And laugh for the joker is so important... take a watch to Gotham and you will see the best joker, even better than jack nicholson and heath ledger, miles away from this rubbish",i realli dont understand how so mani peopl consid it a masterpiec i simpli hate thi movi sinc the veri first minut mayb i have no sensibl at all to feel ani empti with thi joke the charact is annoy the screenplay is annoy the music is more nois than music one of the worst move i have seen in the last year and i dont save neither phoenix i never like him but the way he laugh is absolut aw and laugh for the joke is so import take a watch to gothic and you will see the best joke even better than jack nicholson and heath ledger mile away from thi rubbish,Negative
62,THIS IS HOW A DC MOVIE SHOULD BE!,"This movie is a masterpiece! It absolutely epitomizes what a DC movie should be. Dark, emotional, thought provoking, not just action action action. One of the best movies I've seen in a long time.\n\nCritics have definitely lost touch with the public and should be ignored on this one. Do yourself a favor and watch it!\n\nAnd remember to be good to one another. You dont know what someone else is going through.",thi movi is a masterpiec it absolut epitom what a do movi should be dark emot thought provok not just action action action one of the best move give seen in a long time critic have definit lost touch with the public and should be ignor on thi one do yourself a favor and watch it and rememb to be good to one anoth you dont know what someon els is go through,Positive
63,In your face call for justice that upsets the corrupt elite,"There is a reason why this masterpiece is being panned by the crony capitalist critics. It challenges their all too comfortable fake construction of reality and it does so in such an effective way, that it almost automatically elicits a dishonest, knee-jerk defensive reaction from them, frightened to the bone that their gaslighting charade might get uncovered. It is not Joker that is delusional, it is they that sell delusions in order to maintain the status quo.\n\nBut, eventually, and they know it, you get what you deserve. That sentence and that sentiment is what so scares them, because this movie cuts too close to the bone, and like all great, game-changing art, it is just a bit too true.\n\nWhen Joker, who is a true hero here, helps a character, equally mistreated by the powers that be, go free, he points that he was the only one that treated him well. This is a call for kindness that is essence of the movie, but it is barely noticed by those who, like the villain of the movie,...",there is a reason whi thi masterpiec is be plan by the croni capitalist critic it challeng their all too comfort face construct of realiti and it doe so in such an effect way that it almost automat elicit a dishonest kneejerk defens reaction from them frighten to the bone that their alight charg might get uncov it is not joke that is delus it is they that sell delus in order to maintain the statu que but eventu and they know it you get what you deserv that sentenc and that sentiment is what so scar them becaus thi movi cut too close to the bone and like all great gamechang art it is just a bit too true when joke who is a true hero here help a charact equal mistreat by the power that be go free he point that he wa the onli one that treat him well thi is a call for kind that is essenc of the movi but it is bare notic by those who like the villain of the movi thoma wayn think we are all despic clown so they lie and pool wool over our eye as they onli can misconstru and make fals scar ...,Neutral
64,CRAZY BEAUTIFUL ?? . . OR JUST CRAZY? . . . YOU DECIDE?,,,Positive
65,Perfect,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,creativ actor joaquin creativ embodi the role of the joke film deserv more than 10,Positive
66,Joker's laughter is no joking matter,"Writer-director Todd Phillips's new movie ""Joker"" appeals to me on multiple levels, primarily by offering an engaging story, strongly rooted in believable reality, related to audiences mainly by opposing protagonist's prevalent dark depressive moods while using often optimistic soundtrack and sound editing, shallow nonetheless rich visuals, angles and framing, theatricality augmented through expressive costumes, props and sets, but most impressively via great principal performances and acting choices made by Joaquin Phoenix in the lead as a title character (under proper fictional name Arthur Fleck), whose sudden uncontrollable and seemingly inappropriate laughter (justified as a medical condition) easily counterpoints the (painful need for) outcry from Gotham (read: any) City masses, hurt and deprived by injustices of their quotidian existence, as well as by Robert De Niro in a quintessential supporting role of a TV-comedy show host Murray Franklin (both worthy of the end-of-the-ye...",writerdirector told phillip new movi joke appeal to me on multipl level primarili by offer an engag stori strongli root in believ realiti relat to audienc mainli by oppos protagonist preval dark depress mood while use often optimist soundtrack and sound edit shallow nonetheless rich visual angl and frame theatric augment through express costum drop and set but most impress via great princip perform and act choic made by joaquin phoenix in the lead as a titl charact under proper section name arthur fleck whose sudden uncontrol and seemingli inappropri laughter justifi as a medic condit easili counterpoint the pain need for outcri from gothic read ani citi mass hurt and depriv by injustic of their quotidian exist as well as by robert de no in a quintessenti support role of a comedi show host murray franklin both worthi of the endoftheyear act award consider and by set believ recours for the futur adventur of the most realist do comic charact the batman not a superhero at all with hi ...,Positive
67,No.. Just... no.,"I'm making sure to give this movie 1 star because it's definitely not a 8.9 - that's a lie.\n\nJoker is not an amazing movie. It's far from great. More to the boring side.\n\nIt lacks plot twist and focus too much on character development. How many times someone needs to get punched in the face before they go crazy?\n\nHe suffers, gets fired, has a mental illness, nobody loves him, he's sad and he cries and he laughs and he laughs again. And he kills some people, and that's it, that's the movie.",in make sure to give thi movi 1 star becaus it definit not a 89 that a lie joke is not an amaz movi it far from great more to the bore side it lack plot twist and focu too much on charact develop how mani time someon need to get punch in the face befor they go crazi he suffer get fire ha a mental ill nobodi love him he sad and he cri and he laugh and he laugh again and he kill some peopl and that it that the movi,Negative
68,Best DC movie since The Dark Knight Rises,"DC can STILL give us a compelling movie. Wasn't quite hyped about it, I mean, an origin story of a villain made by the director of Hangover movies; what could I even expect? Then, the reviews started to drop. Still wasn't sure if I would like it. And after I saw it, it was way better than I thought it would be. I won't call it a masterpiece, but it definitely is on my top 3 DC films of all times!\n\nGood : There's hardly anything bad about Joker. Joaquin Phoenix does a great job of bringing the character into life. Rather than a typical superhero/supervillain origin story, we get to see a psychological drama + horror, and thank God, we got that. I love the genre, I love films like Infinity War, Days of Future Past, Endgame and Raimi's Spider-Man. But occasionally, it's really good to take a break from such films. It's, kind of, in the category of films like Unbreakable. Basically, the movie is (no spoilers ahead) Arthur, being tormented by the society and being a mentally unstable ...",do can still give us a compel movi want quit hope about it i mean an origin stori of a villain made by the director of hanov move what could i even expect then the review start to drop still want sure if i would like it and after i saw it it wa way better than i thought it would be i wont call it a masterpiec but it definit is on my top 3 do film of all time good there hardli anyth bad about joke joaquin phoenix doe a great job of bring the charact into life rather than a typic superherosupervillain origin stori we get to see a psycholog drama horror and thank god we got that i love the gene i love film like infin war day of futur past engag and aim spiderman but occasion it realli good to take a break from such film it kind of in the categori of film like unbreak basic the movi is no soiler ahead arthur be torment by the societi and be a mental unstabl longer lose hi mind after the constant torment and after that all hell break loos that all the movi show it would be quit difficul...,Positive
69,"Over-hyped, overacted with no proper entertainment - The Millennial Joker","Absolute disappointment. I believed the hype like a fool. No person that actually saw it told me it was a good movie, just the stupid reviews. It's so cringe, with nothing actually happening except Phoenix smoking and dancing around. There is no action, no substance, no humor. Everything is so cringe and overacted. I suppose if you like those independent movies at TIFF or Cannes this is something for you. If you actually wanna be entertained and see The Joker from the DC, this is not it. Best description is millennial joker. Society is mean to him, nobody gives him anything so he cries and complains about it to get attention. When none is given, he starts killing.",absolut disappoint i believ the hope like a fool no person that actual saw it told me it wa a good movi just the stupid review it so cring with noth actual happen except phoenix smoke and danc around there is no action no substanc no humor everyth is so cring and oper i suppos if you like those independ move at stiff or lann thi is someth for you if you actual anna be entertain and see the joke from the do thi is not it best descript is millennium joke societi is mean to him nobodi give him anyth so he cri and complain about it to get attent when none is given he start kill,Negative
70,Insult to the best comic book villain of all time,,,Negative
71,I don't get what everyone else seems to be seeing.,"I do agree that Joaquin's performance was great, very well done and not an easy part to pull off. That however, was the only good part of the film. Movie was dark as I expected, but so much SLOW dialog it was putting me to sleep. Parts of the movie were VERY predictable, though a couple (literally two) of surprises that were good but didn't out weigh a very slow moving poorly laid out story. I say skip this one and wait for it to hit the other subscription services, I'd ask for my money back but I did stay till the end.",i do agre that joaquin perform wa great veri well done and not an easi part to pull off that howev wa the onli good part of the film movi wa dark as i expect but so much slow diplo it wa put me to sleep part of the movi were veri predict though a coupl liter two of surpris that were good but didn out weigh a veri slow move poorli laid out stori i say skin thi one and wait for it to hit the other subscript servic id ask for my money back but i did stay till the end,Neutral
72,Overrated and badly directed film with a misleading title,"Joker is basically the lite edition or postmodern version of Fight Club or the Scorsese films it lifts from. It's interesting to see how easily words like masterpiece and groundbreaking are being used for this, and that is the one joke that this movie successfully pulls off. It's just a whole lot of self-seriousness and posturing and is essentially hollow. It pretends to say a lot but ends up saying very little or nothing at all, not about the character nor about the society he's part of.\n\nIt is also 'Joker' only in name and has very little to do with the super-villain. I'm all for a different interpretation and even an origin story for the joker but this movie fails to recognise or capture his spirit. Even 'Proto-Joker' doesn't quite do it justice, and I can think of a dozen more suitable titles e.g. Arthur, The Untalented Mr. Fleck, Smoker, Poser etc. Infact he's more akin to a less dangerous but also mentally unstable villain like Ratcatcher or Calendar Man though just with a ...",joke is basic the like edit or postmodern version of fight club or the score film it lift from it interest to see how easili word like masterpiec and groundbreak are be use for thi and that is the one joke that thi movi success pull off it just a whole lot of selfseri and pour and is essenti hollow it pretend to say a lot but end up say veri littl or noth at all not about the charact nor about the societi he part of it is also joke onli in name and ha veri littl to do with the supervillain in all for a differ interpret and even an origin stori for the joke but thi movi fail to recognis or captur hi spirit even protojok doesn quit do it justic and i can think of a dozen more suitabl titl eg arthur the talent mr fleck smoker power etc intact he more akin to a less danger but also mental unstabl villain like ratcatch or calendar man though just with a clown theme and is not even close to embodi the joke extrem form of nihil it not that it ha to be a comicbook accur portray that would ...,Negative
73,Mesmerizing,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:),the end is what matter in a movi and thi movi ha a kind of end which would leav mani speechless it inde a masterpiec,Positive
74,Joke of a movie,"Joaquin Phoenix just playing Joaquin Phoenix. Boring, Twisted, Sick piece of crap. A one and done movie.",joaquin phoenix just play joaquin phoenix bore twist sick piec of cap a one and done movi,Negative
75,Oscar Sooner or later,"W.O.W!!! What can I say about how brilliant Phoenix act performance is ?? In shortcut,movie of the year ??/????",now what can i say about how brilliant phoenix act perform is in shortcutmovi of the year,Neutral
76,BEST MOVIE OF THE YEAR,"The movie was excellent and amazing, from the beginning that Joaquin's personality is seen as he evolves in the Joker until the end, Joker is the most difficult character to do and I think Joaquin did it!!",the movi wa excel and amaz from the begin that joaquin person is seen as he evolv in the joke until the end joke is the most difficult charact to do and i think joaquin did it,Positive
77,First time writing a review... that's how good this is,"Please go watch this movie! This is the first time I've ever wrote a review on this app and I've been using it to read reviews for years! That's how good this film is. Very dark, grimy and disturbing, exactly how an origin film about the joker should be. I have no doubt it will win multiple oscars. Do yourself a favor and go see it!!!",pleas go watch thi movi thi is the first time give ever wrote a review on thi pp and give been use it to read review for year that how good thi film is veri dark grim and disturb exactli how an origin film about the joke should be i have no doubt it will win multipl scar do yourself a favor and go see it,Neutral
78,Great acting - Terrible film,"I was so looking forward to this film given all the hype about brilliant acting etc but yet again what a let down!\n\nThe film had no real storyline in the past or the present and although the acting was brilliant I had real trouble understanding the plot, if at all there was one.\n\nONE STAR IS FOR THE ACTORS",i wa so look forward to thi film given all the hope about brilliant act etc but yet again what a let down the film had no real storylin in the past or the present and although the act wa brilliant i had real troubl understand the plot if at all there wa one one star is for the actor,Neutral
79,I really don't understand.,"Joaquin Phoenix is good. The directing is pretty good. The writing is absolutely awful. This movie is trying so hard to be relevant and to have a 'message' that it just throws a jumbled mess of quasi-commentary at you hoping something will stick. It is completely unclear what exactly writer/director Todd Phillips is actually trying to say, if anything. Is Joker a hero of the resistance or is he an incel? Does he go crazy because he's mentally ill or because people are mean to him? Both rich people and poor people are horrible to Joker so what exactly is the class commentary? It's also confusing how Robert De Niro when this movie is clearly ripping off Taxi Driver in many ways, also with a little Mr. Robot thrown in. There's also a subplot with a neighbor that is so incredibly stupid and pointless, which actually has no bearing on the story whatsoever. The movie is also just listless and boring throughout much of it. A movie can be slow-paced without it being boring if interesting t...",joaquin phoenix is good the direct is pretti good the write is absolut aw thi movi is tri so hard to be relev and to have a messag that it just throw a tumbl mess of quasicommentari at you hope someth will stick it is complet unclear what exactli writerdirector told phillip is actual tri to say if anyth is joke a hero of the resist or is he an icel doe he go crazi becaus he mental ill or becaus peopl are mean to him both rich peopl and poor peopl are horribl to joke so what exactli is the class commentari it also confus how robert de no when thi movi is clearli lip off taxi driver in mani way also with a littl mr root thrown in there also a subplot with a neighbor that is so incred stupid and painless which actual ha no bear on the stori whatsoev the movi is also just listless and bore throughout much of it a movi can be slowpac without it be bore if interest thing are happen that are drive the plot toward it conclus the onli thing drive the stori in thi movi is know that he go to ...,Negative
80,Overrated and overhyped,"Story was just really unconvincing. Nobody really cares that much about some random dude who is as ineloquent and uninspired as the joker is. The hype portraying the movie as painful and cruel is just cringe. To see this rated better than ""One flew over cuckoos nest"" that shows way better cruelty saddens me.",stori wa just realli convinc nobodi realli care that much about some random due who is as eloqu and inspir as the joke is the hope portray the movi as pain and cruel is just cring to see thi rate better than one flew over cuckoo nest that show way better cruelti sadden me,Negative
81,Good Film but nothing to do with the Joker,"The performance of Joaquin is excellent but the story simply don't have anything to do with the Joker, it's more about a mentaly ill man struggling with his chaotic enviroment until it's overwhelmed and snaps. I would be a much better film if the title was ""Arthur"" or ""The Clown"" but the fact that it's forced to be related to the batman universe it's why i feld it didn't work.",the perform of joaquin is excel but the stori simpli dont have anyth to do with the joke it more about a mental ill man struggl with hi chronic environ until it overwhelm and snap i would be a much better film if the titl wa arthur or the clown but the fact that it forc to be relat to the batman univers it whi i felt it didn work,Neutral
82,"Dark, serious, tense... and bad!","Somehow the darkest and most serious movies get the highest ratings. People say that this movie is so thrilling and that Joaquin Phoenix deserves an Oscar but at the end of the day, it wasn't entertainment. There were so many evil moments and dark scenes but what's so good about that?\n\nThis movie was almost like instructions on how to be a psycho. They flipped the usual idea and boundaries of good and evil for the audience to feel sorry for the bad guy. People seem to think this is a good thing. It's bad!\n\nThe point of a movie is to entertain audiences and this movie just made me feel depressed and miserable. I'll have to watch a movie where the hero is clear and the villain is clear so I can actually be entertained. The fundemental and successful formula for a film.",somehow the dark and most seriou move get the highest rate peopl say that thi movi is so thrill and that joaquin phoenix deserv an oscar but at the end of the day it want entertain there were so mani evil moment and dark scene but what so good about that thi movi wa almost like instruct on how to be a psychic they slip the usual idea and boundari of good and evil for the audienc to feel sorri for the bad guy peopl seem to think thi is a good thing it bad the point of a movi is to entertain audienc and thi movi just made me feel depress and miser ill have to watch a movi where the hero is clear and the villain is clear so i can actual be entertain the fundament and success formula for a film,Neutral
83,Generous 3.,"""Joker"" is nor a ""masterpiece"" nor is it ""flawless"" as this board boasts. It's mirely a decent origin, albeit heavy-handed as sin, with choppy flow, poor directing decisions at moments, and part brilliant part wildly overacting on Phoenix's part. The heavy handed nature of mental illness is not written well... It highlghts many different illnesses with none of which feeling whole or handled with much, if any, sense of understanding. Sprinkle in are a few light-hearted moments to remind you that ""hey, he's still funny at times""... But with the strained mental illness angle it's difficult to laugh at these moments without a bit on introspection of what it is and who it is you're laughing at. The real ""danger"" this movie poses is that it's another Hollywood blunder with mental health and its handling... Which does way more harm than good.\n\nThere is no great existential pandering, ss some are saying... ""it's deep"", ""my feels"", ""It's not a superhero movie it's a character study"", rega...",joke is nor a masterpiec nor is it lawless as thi board boat it mere a decent origin albeit heavyhand as sin with happi flow poor direct decis at moment and part brilliant part wildli oper on phoenix part the heavi hand natur of mental ill is not written well it highlight mani differ ill with none of which feel whole or handl with much if ani sens of understand sprinkl in are a few lightheart moment to remind you that hey he still funni at time but with the strain mental ill angl it difficult to laugh at these moment without a bit on introspect of what it is and who it is your laugh at the real danger thi movi pose is that it anoth hollywood blunder with mental health and it handl which doe way more harm than good there is no great existenti wander is some are say it deep my feel it not a superhero movi it a charact studi regardless of what anyon want to categori it as ill consid it a gener 3,Neutral
84,Murdering the Joker,"This film tries desperately to devillify the most stylish and charismatic villain in the DC universe and excruciatingly transform him into a poster child for mental illness in the most tedious manner possible.. This version of the Joker lacks any semblance of style, luster, flair, or charisma, leaving me to wonder why anyone would bother investing the time and money required to create this turkey, much less watch it.\n\nThey've murdered the Joker for the sake of some social commentary and PC promotion. I don't deny that mental illness is a real issue or that attention should be brought to it, but folks watch movies about supervillians to see super-villainy, not a 2 hour public service announcement. I hung in there as long as I could hoping for this movie to redeem itself, but about 3 quarters of the way through I could take no more of watching it spin it's wheels.\n\nIf you are a fan of the Jack Nicholson or Heath Ledger versions of the Joker then you will likely find this film as ...",thi film tri desper to devillifi the most stylish and charismat villain in the do univers and excruci transform him into a poster child for mental ill in the most tediou manner possibl thi version of the joke lack ani semblanc of style luster flair or charisma leav me to wonder whi anyon would bother invest the time and money requir to creat thi turkey much less watch it they murder the joke for the sake of some social commentari and pp promot i dont deni that mental ill is a real issu or that attent should be brought to it but folk watch move about supervillian to see supervillaini not a 2 hour public servic announc i hung in there as long as i could hope for thi movi to redeem itself but about 3 quarter of the way through i could take no more of watch it spin it wheel if you are a fan of the jack nicholson or heath ledger version of the joke then you will like find thi film as pain to watch as i did,Negative
